hour,temp
9,4.6
10,6.8
11,8.1
12,9.2
13,10.1
14,10.8
15,10.2
16,9.8
17,9.1
18,8.3
19,7.9
20,7.7
21,7.3
22,7.0
23,6.4
0,5.5
1,5.0
2,4.2
3,3.8
4,3.4
5,2.6
6,2.4
7,2.0
8,2.1
9,2.6
10,4.0
11,5.3
12,7.1
13,8.4
14,9.0
15,9.6
16,9.8
17,8.9
18,8.0
19,7.5
20,7.1
21,6.7
22,6.3
23,6.1
0,6.1
1,5.8
2,4.6
3,4.5
4,4.8
5,4.7
6,4.0
7,3.5
8,3.6
9,3.9
10,5.5
11,7.5
12,8.4
13,9.3
14,10.4
15,10.4
16,11.0
17,9.8
18,8.8
19,8.5
20,8.0
21,8.0
22,7.7
23,7.4
0,6.3
1,5.9
2,5.9
3,5.9
4,5.6
5,5.8
6,5.9
7,7.4
8,7.9
9,8.3
10,10.0
11,11.1
12,11.8
13,12.6
14,13.5
15,13.8
16,13.4
17,12.6
18,12.2
19,12.2
20,12.0
21,11.2
22,11.3
23,11.6
1,5.9
2,5.8
3,5.7
4,5.6
5,5.7
6,6.0
7,5.4
8,4.7
9,5.1
10,6.5
11,7.2
12,8.1
13,8.3
14,8.7
15,10.2
16,11.2
17,10.6
18,8.7
19,7.7
20,7.3
21,6.8
22,6.2
23,5.8
0,5.3
1,4.8
2,4.9
3,5.4
4,5.6
5,5.5
6,5.1
7,4.7
8,4.3
9,4.0
10,3.9
11,4.4
12,4.6
13,4.7
14,5.9
15,5.2
16,4.8
17,4.8
18,4.9
19,4.6
20,4.5
21,4.2
22,4.4
23,3.8
0,3.9
1,3.1
2,2.8
3,2.4
4,2.0
5,2.6
6,1.9
7,2.2
8,2.2
9,2.1
10,2.6
11,3.7
12,4.3
13,5.8
14,6.7
15,6.2
16,6.6
17,5.6
18,4.5
19,4.9
20,5.3
21,4.8
23,4.3
0,3.5
1,2.9
2,2.7
3,2.7
4,3.1
5,3.1
6,3.1
7,1.8
8,1.9
9,2.2
10,3.4
11,3.2
12,4.8
13,5.6
14,7.0
15,6.8
16,5.4
17,4.0
18,2.3
19,2.4
20,3.3
21,3.5
22,3.7
1,2.0
2,1.8
3,1.2
4,0.1
5,0.1
6,0.9
7,1.2
8,1.2
9,1.7
10,2.8
11,4.2
